UUID,Artist,Track title,Album,Duration (milliseconds)
e208a43d-8f97-3825-8222-ec1ba3cbad31,Children of Bodom,Towards Dead End,Hatebreeder,307432
5635ac1c-6dd1-3dad-9a12-04d9ee8ce170,Chingon,Malaguena Salerosa,Kill Bill Vol. 2 Original Soundtrack,246000
fb00c88f-9ce6-38fb-85ed-a04207a8b0b7,Cilver,I'm America,Not The End Of The World,222000
9c4ef72e-71da-3c1a-8c10-9090b3e0a7e8,Cirque Du Soleil,Alegria,Alegria,349934
b5c4fe06-fe77-36cd-96f6-b05b09c4189f,Cirque du Soleil,Barock,Saltimbanco,238000
c59178e4-5ff5-3445-b2b8-9392f822d3f6,Cirque du Soleil,Pokinoi,Saltimbanco,285000
74024fe5-543b-37f6-a3d0-2f45100178da,Cold In May,Antagonist,Gone Away With the Memories (Special Edition),326000
97f4f9a0-4996-3335-815c-f2a158631c31,Coldplay,Adventure Of A Lifetime,Adventure Of A Lifetime,263000
11cc32e7-bf51-3e9a-b0e8-a694b3755ab5,Coldplay,Clocks,Clocks,307000
a08935a2-571a-3c5c-9f20-9d1550638d91,Coldplay,Speed Of Sound,X & Y,287000
0a0227a4-6caf-3530-9843-92d66783ebd0,Conjure One,Manic Star,Conjure One,323000
c5b261b1-c0da-3d57-967b-c2ce392bc4ab,Conjure One,Premonition (Reprise),Conjure One,185000
e6024179-b227-39a9-a128-e52fb939ec24,Conjure One,Sleep,Conjure One,300000
97fe20e3-dc81-3695-8c84-113061d0a09e,Conjure One,Tears From The Moon (feat. Sinéad O'Connor),Conjure One,257000
20e6fd07-1e4e-3fc7-a1d2-9a8435d5cc77,Covenant,Bullet,Northern Light,302000
7221f3aa-a197-3f00-a2bd-ba0fa3a8eb42,Covenant,Call The Ships To Port,Northern Light,295000
70a9d2df-abb8-39cf-9d96-3131d7771824,Covenant,Invisible & Silent,Northern Light,278000
d6b52561-5e53-3d4b-8544-dfaf86896b3a,Craig Chaquico,Forbidden Love,Four Corners,324362
38a54d29-f934-3063-8691-ba6cb60fb35d,Craig Chaquico,Samba Del Rio,Four Corners,326347
