UUID;Artist;Track title;Album;Duration (milliseconds)
eb79675d-fa23-3ab8-93b2-fb16b8ccad4b;Barney Kessel;Little Star;Meets Barney Kessel;275354
8f2feddc-874d-3621-b9c2-f3e3f87bfca6;Barney Kessel;Autumn Leaves;Swinging Easy!;296095
9f9874e8-2ec1-3068-bac1-8414713b04df;Bee Gees;You Should Be Dancing;The Ultimate (Japan WPCR-13706) (CD 1);256466
1fc61c71-b165-3596-b8c1-fde361079938;Ben Prunty;MilkyWay (Battle);FTL;159692
f7939ab9-c3d9-3638-9b26-be72a1bbf13f;Ben Prunty;MilkyWay (Explore);FTL;159692
8244feea-c213-3603-9b65-a5b224465e8c;Beth Gibbons & Rustin Man;Tom The Model;Out Of Season;220792
85df539b-42e0-32f5-9ae2-c3dcc4d3dd32;Biffy Clyro;Bubbles;Only Revolutions;301000
330c4677-c94c-3394-a2e2-ec7dd31b28bf;Black Attack;Bang Bang;On The Edge;237900
ec13a908-910e-30b3-8bd7-20b3b7a1156d;Black Eyed Peas;Don't Lie;Monkey Business;218331
64862548-5562-3544-a569-380bfb6f7569;Black Eyed Peas;Pump It;Monkey Business;212532
44f406a3-6daa-3ad6-8ea2-ac08f419af2a;Blackmore's Night;Minstrel Hall;Shadow of the Moon;155949
6f484271-af8e-3a33-811a-848245f37058;Blackmore's Night;No Second Chance;Shadow of the Moon;338570
a05ba6fe-5403-3c4b-8c20-4ae1fac2c4a8;Blackmore's Night;Ocean Gipsy;Shadow of the Moon;365998
856a52c6-4816-362d-adaa-28f726a7a16e;Blackmore's Night;Shadow Of The Moon;Shadow of the Moon;306152
b6ae60fe-a99b-32ce-bf18-50933c395a42;Blackmore's Night;Spirit Of The Sea;Shadow of the Moon;290008
ffb42c62-9adc-3f28-ad85-6c29cf6af732;Blackmore's Night;Beyond The Sunset;Under a Violet Moon;224781
1e74589d-9757-3979-9c1e-8a585080f4f2;Blackmore's Night;Gone With The Wind;Under a Violet Moon;323811
