20180124 - Ровесники фантастики, автор Андрей Синицын; Дмитрий Байкалов [24:5]+#
20180124 - Лук и Корвин, автор О'Санчес [6:4]+
20180124 - Каменное сердце, автор Гофман, Эрнст [29:4]+
20180124 - Лента Мёбиуса, автор Хулио Кортасар [16:1]+
20180125 - Базарный день, автор Дмитрий Сорокин [3:1]+
20180128 - Противоречие по сути, автор Мария Голованивская [81:4]+
20180202 - Опыт дурака или Ключ к прозрению, автор Мирзакарим Норбеков [263:6]+#
20180917 - Мастерство. Путешествие длиною в жизнь, автор Джордж Леонард [127:7]+#
20180918 - Кровь эльфов (Ведьмак 3), автор Анджей Сапковский [270:5]+^
20180920 - Дневник как путь к себе, автор Кэтлин Адамс [178:4]+#
20180924 - Убить пересмешника, автор Ли Харпер [304:9]+*
20180930 - Сто лет одиночества, автор Габриэль Гарсия Маркес [402:3]+
20180919 - Черновик, автор Сергей Лукьяненко [300:4]+
20181130 - Болтунья, автор Вернор Виндж [73:5]+
20181203 - Оруженосец Кашка, автор Владислав Крапивин [115:4]+
20190101 - Моби Дик, автор Герман Мелвилл [800:4]+
20190101 - Полиглот по собственному желанию, автор Екатерина Матвеева [70:2]+#
20190122 - Эволюция русской книги, автор Аркадий Аверченко [3:7]+
20190123 - О суде, автор Лев Толстой [5:3]+
20190123 - Предисловие к 29 тому сочинений Л.Толстого, автор Л.Опульская [34:5]+#
20190131 - Танец со Змеей, автор Егор Вакула [222:3]+
20190201 - Коммандос Четвертого Рейха, автор Джерри Эхерн [131:2]+
20190315 - Дорога, автор Кормак Маккарти [150:6]+
20190324 - Момо, автор Михаэль Энде [197:5]+
20190414 - The One Minute To-Do List, author Michael Linenberger [127:6]+#
20200913 - Финиш, автор Джон Эйкафф [0:4]@#
20200930 - The Mikado Method, author Ola Ellnestam; Daniel Brolund [215:7]+#
20201007 - How to Take Smart Notes, author Sonke Ahrens [178:8]+#
20201010 - Extreme Programming Explained, author Kent Beck [136:8]+# 
20201011 - ATDD - разработка через приемочные тесты, автор Маркус Гэртнер [232:5]+#
20201012 - Мемуары Мосби, автор Сол Беллоу [195:3]+
20201023 - 99 Bottles of OOP, author Sandi Metz [278:10]+#*
20201206 - Резец небесный, автор Урсула Ле Гуин [250:6]+
20201227 - Призраки дома на холме, автор Ширли Джексон [187:7]+
20210129 - Building Maintainable Software, автор Joost Visser [153:6]+#
20210201 - Name, Construct & Structure, автор Khalil Stemmler [32:3]+#
20210201 - Мы, автор Евгений Замятин [212:7]+
20210206 - Вторая жизнь Уве, автор Фредерик Бакман [319:10]+*
20210218 - Голограмма для короля, автор Дейв Эггерс [248:3]+
20210221 - Делай деньги, автор Терри Пратчетт [366:4]+
20210319 - Head-first object-oriented analysis and design, автор Brett McLaughlin [632:8]+#

